sample_id,query_id,gt_branch_count,exist_logit,exist_probability,actual_matched,geometry_reference_matched,endpoint_x_norm,endpoint_y_norm,direction_x,direction_y
0,0,3,6.03883171081543,0.9976213574409485,1,1,-0.02198679931461811,-0.24493862688541412,-0.08940504491329193,-0.995995283126831
0,1,3,4.008552074432373,0.9821642637252808,1,1,0.2817981243133545,-0.013163454830646515,0.9989107251167297,-0.04666147381067276
0,2,3,-3.5506672859191895,0.027904467657208443,0,0,-0.008515465073287487,0.028424274176359177,-0.2869825065135956,0.9579358100891113
0,3,3,3.4292283058166504,0.968605637550354,1,1,0.035087116062641144,0.23084032535552979,0.15027138590812683,0.9886447787284851
0,4,3,-7.118144989013672,0.0008096123929135501,0,0,-0.07169630378484726,0.32620054483413696,-0.21466809511184692,0.9766870737075806
0,5,3,-7.009901523590088,0.0009020830038934946,0,0,0.008949114941060543,0.27449414134025574,0.03258489444851875,0.9994689226150513
1,0,3,6.1033244132995605,0.9977695941925049,1,1,-0.02888869121670723,-0.310037761926651,-0.0927760973572731,-0.9956870079040527
1,1,3,2.402423620223999,0.9170119762420654,0,0,0.34320905804634094,-0.06745640188455582,0.9812269806861877,-0.1928563266992569
1,2,3,3.4199819564819336,0.9683231711387634,1,0,-0.21140743792057037,0.16092242300510406,-0.795703649520874,0.6056861281394958
1,3,3,4.011052131652832,0.9822079539299011,1,1,0.02158476412296295,0.3225826919078827,0.06676305085420609,0.9977688789367676
1,4,3,-7.343524932861328,0.0006463486352004111,0,0,-0.2350205034017563,0.4165581464767456,-0.49138301610946655,0.8709436058998108
1,5,3,-7.350348472595215,0.0006419561104848981,0,1,-0.1605198234319687,0.3837910592556,-0.38585805892944336,0.9225581884384155
2,0,3,6.054579257965088,0.997658371925354,1,1,-0.026289621368050575,-0.26165518164634705,-0.09997095167636871,-0.9949902892112732
2,1,3,2.4358551502227783,0.919520914554596,1,1,0.3620907962322235,-0.007815604098141193,0.9997671246528625,-0.021579626947641373
2,2,3,-3.842026710510254,0.020999640226364136,0,1,-0.035010941326618195,0.1302722543478012,-0.25954243540763855,0.9657317399978638
2,3,3,3.8760552406311035,0.9796887040138245,1,0,0.013901522383093834,0.277298241853714,0.05006914585828781,0.9987457394599915
2,4,3,-7.3023505210876465,0.000673498900141567,0,0,-0.13532502949237823,0.35948237776756287,-0.352308064699173,0.9358840584754944
